Name,Age,Gender,Height_cm,Weight_kg,BMI,BMR,Goal,Daily_Caloric_Intake,Time_to_Goal,Recommended_Caloric_Intake,Diet_Plan,Workout_Plan
Person_0,39,Female,190,69,19.113573407202217,1521.5,Gain,2632,61,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_1,56,Male,159,93,36.786519520588584,1648.75,Maintain,2152,75,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_2,49,Male,193,65,17.450132889473544,1616.25,Gain,2281,85,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_3,49,Female,156,67,27.531229454306374,1239.0,Lose,1814,136,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_4,26,Female,171,76,25.990903183885642,1537.75,Lose,1839,134,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_5,33,Male,199,56,14.141057044014039,1643.75,Gain,2558,152,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_6,27,Male,176,80,25.826446280991735,1770.0,Maintain,2282,156,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_7,20,Female,159,86,34.01764170721095,1592.75,Lose,2849,95,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_8,57,Female,186,81,23.413111342351716,1526.5,Maintain,2417,91,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Cardio: Running, Cycling, Swimming"
Person_9,54,Female,176,55,17.75568181818182,1219.0,Lose,2737,138,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_10,24,Male,158,89,35.65133792661432,1762.5,Gain,2961,105,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_11,34,Female,171,50,17.09927841045108,1237.75,Gain,2017,144,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_12,37,Female,196,85,22.12619741774261,1729.0,Maintain,2489,73,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_13,26,Male,170,88,30.449826989619382,1817.5,Lose,2994,178,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_14,26,Male,156,56,23.011176857330703,1410.0,Gain,2596,69,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_15,53,Female,193,71,19.060914386963407,1490.25,Lose,2946,109,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Weightlifting: Squats, Deadlifts, Bench Press"
Person_16,58,Male,189,98,27.434842249657066,1876.25,Gain,1898,168,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_17,53,Female,164,93,34.577632361689474,1529.0,Gain,2390,168,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_18,24,Female,183,63,18.812147272238644,1492.75,Lose,2242,87,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Cardio: Running, Cycling, Swimming"
Person_19,25,Male,152,76,32.89473684210526,1590.0,Gain,2696,129,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_20,37,Female,198,82,20.91623303744516,1711.5,Maintain,2624,114,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_21,21,Male,157,67,27.18163008641324,1551.25,Gain,2053,122,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_22,48,Male,166,90,32.660763536072004,1702.5,Gain,1811,154,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
